Sample	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
Tg_REP1	16966858	5593058	16966858	848342900	1624508	838829944	1.1213574133761242
Tg_REP2	45079548	14838725	45079548	2253977400	4147224	2228902563	1.1124706485521993
Tg_REP3	55821464	18289161	55821464	2791073200	6921808	2757813935	1.19162997946453
Tg_REP4	164009922	53385632	164009922	8200496100	12473450	8111961896	1.0796200976182404
Tg_REP5	21845933	7130172	21845933	1092296650	3396696	1077567021	1.348500794175282
control_REP1	54493470	17901602	54493470	2724673500	6896917	2692693438	1.1737208880256662
control_REP2	26107063	8526735	26107063	1305353150	2793097	1290680946	1.1240026501640572
control_REP3	124464785	40559481	124464785	6223239250	14158059	6147868490	1.211117827424038
control_REP4	22400112	7290826	22400112	1120005600	2260427	1107419749	1.1237310777731826
control_REP5	20015644	6488824	20015644	1000782200	2684076	988841653	1.193121440409312
