Sample	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	Biotype Counts_mqc-generalstats-biotype_counts-percent_rRNA	DupRadar_mqc-generalstats-dupradar-dupRadar_intercept	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	QualiMap_mqc-generalstats-qualimap-5_3_bias	QualiMap_mqc-generalstats-qualimap-reads_aligned	Samtools_mqc-generalstats-samtools-error_rate	Samtools_mqc-generalstats-samtools-non_primary_alignments	Samtools_mqc-generalstats-samtools-reads_mapped	Samtools_mqc-generalstats-samtools-reads_mapped_percent	Samtools_mqc-generalstats-samtools-reads_properly_paired_percent	Samtools_mqc-generalstats-samtools-reads_MQ0_percent	Samtools_mqc-generalstats-samtools-raw_total_sequences	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_duplicates	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_gc	FastQC (raw)_mqc-generalstats-fastqc_raw-avg_sequence_length	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_fails	FastQC (raw)_mqc-generalstats-fastqc_raw-total_sequences	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_duplicates	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_gc	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-avg_sequence_length	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_fails	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-total_sequences
Tg_REP1	23115172	23115172	0.00013830971694916427	0.0165522841090933	0.609279	0.86	16642991.0	0.00160215	6472181.0	16642991.0	100.0	0.0	3.1009390078982797	16642991.0	82.2	13927607.0	56.82615243620797	47.0	50.0	20.0	16966858.0	1.1213574133761242	56.18174469654474	47.0	49.500110923036054	20.0	16944181.0
Tg_REP2	61687369	61687369	0.00021441740814503733	0.0242025626619526	0.720412	0.86	44242963.0	0.00165651	17444406.0	44242963.0	100.0	0.0	3.1040710361103074	44242963.0	82.07	36960993.0	69.53944284168294	47.0	50.0	20.0	45079548.0	1.1124706485521993	68.95062293288136	47.0	49.49008445932255	20.0	45034105.0
Tg_REP3	75922082	75922082	0.00017818889780647025	0.0232500712383668	0.729936	0.83	55074477.0	0.001630082	20847605.0	55074477.0	100.0	0.0	2.9661089655013884	55074477.0	83.01	46243121.0	67.90957932879886	47.0	50.0	20.0	55821464.0	1.19162997946453	67.30156379738547	47.0	49.50039284027197	20.0	55704574.0
Tg_REP4	228556028	228556028	0.00018688629700028722	0.0440949822097642	0.840701	0.87	162757832.0	0.001466298	65798196.0	162757832.0	100.0	0.0	3.2121403534055433	162757832.0	82.39	134969464.0	79.6421173541432	47.0	50.0	20.0	164009922.0	1.0796200976182404	79.11802073626295	47.0	49.516732605115294	20.0	163811103.0
Tg_REP5	30121288	30121288	0.00020161061681508145	0.018937077989299	0.651606	0.87	21409200.0	0.001814432	8712088.0	21409200.0	100.0	0.0	3.2778665246716367	21409200.0	81.64	17773305.0	60.37685956121291	47.0	50.0	20.0	21845933.0	1.348500794175282	59.79764953588369	47.0	49.48966769146788	20.0	21770401.0
control_REP1	75342859	75342859	0.00015324675996781617	0.0216195804694719	0.742916	0.83	53780631.0	0.001424672	21562228.0	53780631.0	100.0	0.0	3.1738024791862336	53780631.0	82.33	44769436.0	68.78611647601178	47.0	50.0	20.0	54493470.0	1.1737208880256662	68.04527646429993	47.0	49.50874627212663	20.0	54377853.0
control_REP2	36030946	36030946	0.0001624362928789239	0.0329139802958717	0.677553	0.83	25693576.0	0.00184833	10337370.0	25693576.0	100.0	0.0	3.224926728766755	25693576.0	82.11	21407159.0	62.13571581869614	47.0	50.0	20.0	26107063.0	1.1240026501640572	61.429848249939646	47.0	49.499729864925555	20.0	26070291.0
control_REP3	171857393	171857393	0.00016340546221103256	0.0338797376818797	0.823936	0.82	123335273.0	0.001624139	48522120.0	123335273.0	100.0	0.0	3.0903600464726746	123335273.0	82.77	102808659.0	77.01303838672368	47.0	50.0	20.0	124464785.0	1.211117827424038	76.26709350867844	47.0	49.492093773246374	20.0	124206215.0
control_REP4	31097943	31097943	0.00015855755556939207	0.0182580662829245	0.644589	0.8	22137653.0	0.001697036	8960290.0	22137653.0	100.0	0.0	3.2088948182537687	22137653.0	82.26	18401690.0	59.39915473056633	47.0	50.0	20.0	22400112.0	1.1237310777731826	58.74084985596262	48.0	49.50106172554944	20.0	22369246.0
control_REP5	27825785	27825785	0.0001436636923265528	0.0272298505425741	0.641501	0.82	19703484.0	0.00182734	8122301.0	19703484.0	100.0	0.0	3.2999443144166785	19703484.0	81.76	16328354.0	58.63765501046197	48.0	50.0	20.0	20015644.0	1.193121440409312	57.92296479628845	48.0	49.50348628426755	20.0	19971263.0
