Sample	total_records	qc_failed	optical_pcr_duplicate	non_primary_hits	unmapped_reads	mapq_lt_mapq_cut_non-unique	mapq_gte_mapq_cut_unique	read_1	read_2	reads_map_to_sense	reads_map_to_antisense	non-splice_reads	splice_reads	reads_mapped_in_proper_pairs	proper-paired_reads_map_to_different_chrom	unique_percent	proper_pairs_percent
Tg_REP1	23115172	0	10140228	6472181	0	506764	5995999	0	0	2936587	3059412	5252309	743690	0	0	25.939668543240778	0.0
Tg_REP2	61687369	0	31873179	17444406	0	925535	11444249	0	0	5608170	5836079	10184241	1260008	0	0	18.552013460000218	0.0
Tg_REP3	75922082	0	40200863	20847605	0	1113861	13759753	0	0	6745134	7014619	12267595	1492158	0	0	18.12351905734092	0.0
Tg_REP4	228556028	0	136830617	65798196	0	1906945	24020270	0	0	11770331	12249939	21840005	2180265	0	0	10.509576233972705	0.0
Tg_REP5	30121288	0	13950361	8712088	0	577097	6881742	0	0	3369389	3512353	6022272	859470	0	0	22.846772023825807	0.0
control_REP1	75342859	0	39954506	21562228	0	987861	12838264	0	0	6265486	6572778	11422179	1416085	0	0	17.03978873432451	0.0
control_REP2	36030946	0	17408760	10337370	0	621640	7663176	0	0	3740974	3922202	6714980	948196	0	0	21.268317517946933	0.0
control_REP3	171857393	0	101620418	48522120	0	1558432	20156423	0	0	9847965	10308458	18191470	1964953	0	0	11.728574865557283	0.0
control_REP4	31097943	0	14269678	8960290	0	589267	7278708	0	0	3552302	3726406	6364322	914386	0	0	23.405753878962347	0.0
control_REP5	27825785	0	12639810	8122301	0	531843	6531831	0	0	3186101	3345730	5679327	852504	0	0	23.47402238607105	0.0
