Sample	total_splicing_events	known_splicing_events	partial_novel_splicing_events	novel_splicing_events	total_splicing_junctions	known_splicing_junctions	partial_novel_splicing_junctions	novel_splicing_junctions	known_splicing_events_pct	partial_novel_splicing_events_pct	novel_splicing_events_pct	known_splicing_junctions_pct	partial_novel_splicing_junctions_pct	novel_splicing_junctions_pct
Tg_REP1	748891	735114	8434	5067	122332	112460	6125	3747	98.16034643225782	1.1261986056715865	0.6766004665565483	91.93015727691855	5.006866559853513	3.062976163227937
Tg_REP2	1268816	1236915	19171	12196	153875	133179	12395	8301	97.48576625767645	1.5109361798716283	0.9612110818274675	86.55012185215271	8.055239642567019	5.39463850528026
Tg_REP3	1502465	1461680	25008	15195	164624	139411	15310	9903	97.28546089259983	1.6644647296276454	1.0113380344966438	84.68449314802216	9.299980561764992	6.015526290212849
Tg_REP4	2195740	2107102	52768	34530	206489	157755	27931	20803	95.96318325484803	2.4031989215480887	1.5725905617240656	76.39874279017285	13.526628537113359	10.0746286727138
Tg_REP5	865417	848817	10343	5938	130549	118784	7389	4376	98.08184955922982	1.1951463860774634	0.6861432118851375	90.98805812376962	5.659943775900237	3.351998100330144
control_REP1	1425867	1395905	18020	11358	150946	131484	11480	7982	97.89868199488451	1.263792485554403	0.7965679828483301	87.10664741033217	7.605368807388073	5.287983782279756
control_REP2	954799	939274	9343	5869	130339	119362	6590	4387	98.37400332425987	0.9785305598351066	0.6146843471767356	91.57811552950383	5.056046156560968	3.3658383139351997
control_REP3	1978820	1920962	34734	22126	185110	150754	19942	14414	97.0761362832395	1.7552885052708178	1.1181411144015119	81.44022473124089	10.773053859867106	7.78672140889201
control_REP4	920635	906650	8381	5273	128118	118161	5997	3960	98.48093978612587	0.9103499215215585	0.5727568471761338	92.22825832435724	4.680841099611296	3.090900576031471
control_REP5	858346	846109	7339	4630	124339	115535	5305	3499	98.57435113578906	0.8550165084942435	0.5394095155100624	92.91935756279204	4.2665615776224675	2.814080859585488
