Sample	total_reads	total_tags	total_assigned_tags	cds_exons_total_bases	cds_exons_tag_count	cds_exons_tags_kb	5_utr_exons_total_bases	5_utr_exons_tag_count	5_utr_exons_tags_kb	3_utr_exons_total_bases	3_utr_exons_tag_count	3_utr_exons_tags_kb	introns_total_bases	introns_tag_count	introns_tags_kb	tss_up_1kb_total_bases	tss_up_1kb_tag_count	tss_up_1kb_tags_kb	tss_up_5kb_total_bases	tss_up_5kb_tag_count	tss_up_5kb_tags_kb	tss_up_10kb_total_bases	tss_up_10kb_tag_count	tss_up_10kb_tags_kb	tes_down_1kb_total_bases	tes_down_1kb_tag_count	tes_down_1kb_tags_kb	tes_down_5kb_total_bases	tes_down_5kb_tag_count	tes_down_5kb_tags_kb	tes_down_10kb_total_bases	tes_down_10kb_tag_count	tes_down_10kb_tags_kb	other_intergenic_tag_count	cds_exons_tag_pct	5_utr_exons_tag_pct	3_utr_exons_tag_pct	introns_tag_pct	tss_up_1kb_tag_pct	tss_up_5kb_tag_pct	tss_up_10kb_tag_pct	tes_down_1kb_tag_pct	tes_down_5kb_tag_pct	tes_down_10kb_tag_pct	other_intergenic_tag_pct
Tg_REP1	6502763	7347090	7150626	92323996	4379124	47.43	6777225	69693	10.28	30535586	1329958	43.55	1459793200	1231972	0.84	30714792	9535	0.31	137359409	31153	0.23	246305925	48130	0.2	32605920	28476	0.87	141698542	70123	0.49	250056212	91749	0.37	196464	59.60351649428549	0.9485796417357075	18.101833515037928	16.768162633096914	0.12977927315440535	0.42401821673615	0.6550892938564793	0.3875820222700416	0.9544322990462891	1.2487801292756724	2.6740382927118085
Tg_REP2	12369784	13805907	13341384	92323996	7590937	82.22	6777225	144576	21.33	30535586	2385394	78.12	1459793200	2897638	1.98	30714792	22394	0.73	137359409	74070	0.54	246305925	115352	0.47	32605920	59960	1.84	141698542	155186	1.1	250056212	207487	0.83	464523	54.98325463151389	1.047203925102494	17.278068003789972	20.988392866908345	0.16220593112788603	0.5365094810503939	0.8355264163375864	0.4343068514078793	1.1240550874346757	1.5028856850911714	3.3646684712565427
Tg_REP3	14873614	16572092	16001100	92323996	9046908	97.99	6777225	189743	28.0	30535586	2846994	93.24	1459793200	3517770	2.41	30714792	29538	0.96	137359409	94646	0.69	246305925	145948	0.59	32605920	72788	2.23	141698542	190021	1.34	250056212	253737	1.01	570992	54.59122481337902	1.1449550243867823	17.179448436564314	21.227072598921126	0.1782394160013111	0.5711167908070991	0.8806854318694345	0.43922034707507057	1.1466325434350715	1.531110254517052	3.4455034403622666
Tg_REP4	25927215	28448842	27181038	92323996	13622167	147.55	6777225	353923	52.22	30535586	4319776	141.47	1459793200	8024983	5.5	30714792	64881	2.11	137359409	206787	1.51	246305925	321259	1.3	32605920	140126	4.3	141698542	390846	2.76	250056212	538930	2.16	1267804	47.88302806841839	1.2440682119855706	15.184364973449535	28.20846978587037	0.22806200688238912	0.7268731711470013	1.1292515878150682	0.4925543190826537	1.3738555685324556	1.8943829066926519	4.456434465768414
Tg_REP5	7458839	8432477	8204531	92323996	5097291	55.21	6777225	98806	14.58	30535586	1466794	48.04	1459793200	1381341	0.95	30714792	12126	0.39	137359409	37261	0.27	246305925	56877	0.23	32605920	31805	0.98	141698542	78431	0.55	250056212	103422	0.41	227946	60.44832378434	1.1717316276107246	17.39458050107934	16.381200921152825	0.14380116305090426	0.4418749081675527	0.6744993197135314	0.3771726860328229	0.9301063020984225	1.2264723639329227	2.7031914821706597
control_REP1	13826125	15437997	14976728	92323996	8456001	91.59	6777225	143609	21.19	30535586	2637693	86.38	1459793200	3422058	2.34	30714792	20536	0.67	137359409	69253	0.5	246305925	107550	0.44	32605920	61965	1.9	141698542	158409	1.12	250056212	209817	0.84	461269	54.77395156897621	0.9302307805863675	17.08572038198997	22.166463693444168	0.13302243807924047	0.448587987159215	0.6966577335129681	0.40137979039638366	1.0260981395449165	1.3590947063922865	2.987881135098031
control_REP2	8284816	9359112	9117377	92323996	5589536	60.54	6777225	96413	14.23	30535586	1611953	52.79	1459793200	1655454	1.13	30714792	11947	0.39	137359409	37117	0.27	246305925	56625	0.23	32605920	33287	1.02	141698542	81872	0.58	250056212	107396	0.43	241735	59.72293097892193	1.0301511510921122	17.223354095986885	17.68815246574675	0.12765099936831614	0.3965867701978564	0.6050253485587094	0.35566408437039754	0.8747838470145458	1.147502027970175	2.582883931723437
control_REP3	21714855	23971431	23058197	92323996	12114427	131.22	6777225	277551	40.95	30535586	3800777	124.47	1459793200	6255174	4.28	30714792	44292	1.44	137359409	144322	1.05	246305925	221852	0.9	32605920	105955	3.25	141698542	285401	2.01	250056212	388416	1.55	913234	50.5369370731351	1.1578407647002802	15.855444758387598	26.094286986871996	0.18476994552390302	0.6020583418653647	0.9254850075491946	0.4420053187479712	1.1905880796186092	1.6203287988939834	3.809676610461845
control_REP4	7867975	8902307	8677619	92323996	5392557	58.41	6777225	94143	13.89	30535586	1534875	50.27	1459793200	1503933	1.03	30714792	11095	0.36	137359409	34722	0.25	246305925	52823	0.21	32605920	31289	0.96	141698542	75942	0.54	250056212	99288	0.4	224688	60.574826278177106	1.0575123953824552	17.241317334933516	16.89374450914802	0.12463061541238693	0.3900337294591166	0.5933630462306007	0.351470691810561	0.8530597742809812	1.1153064031604392	2.523930032967859
control_REP5	7063674	8027485	7840565	92323996	4976518	53.9	6777225	91030	13.43	30535586	1378990	45.16	1459793200	1265505	0.87	30714792	9629	0.31	137359409	28991	0.21	246305925	43789	0.18	32605920	27717	0.85	141698542	65587	0.46	250056212	84733	0.34	186920	61.99348862065766	1.13397907314682	17.17835660857666	15.764651070665344	0.1199503954227258	0.36114673524771457	0.5454884063937834	0.34527626024838415	0.8170304896240852	1.0555360738761892	2.32850014668355
