Sample	10	11	12	13	14	15	16	17	18	19	1	20	21	22	2	3	4	5	6	7	8	9	MT	X	Y	*
Tg_REP1	[802340, 133797422]	[1118033, 135086622]	[1581871, 133275309]	[419563, 114364328]	[644497, 107043718]	[716029, 101991189]	[878015, 90338345]	[1068322, 83257441]	[269290, 80373285]	[930634, 58617616]	[2405081, 248956422]	[461854, 64444167]	[336898, 46709983]	[411030, 50818468]	[1412471, 242193529]	[1115352, 198295559]	[788083, 190214555]	[1657080, 181538259]	[1282351, 170805979]	[1194599, 159345973]	[514848, 145138636]	[1397109, 138394717]	[870284, 16569]	[804388, 156040895]	[35150, 57227415]	[0, 0]
Tg_REP2	[2117009, 133797422]	[2950224, 135086622]	[4263172, 133275309]	[1097036, 114364328]	[1682645, 107043718]	[1862770, 101991189]	[2341776, 90338345]	[2815848, 83257441]	[701070, 80373285]	[2443335, 58617616]	[6394852, 248956422]	[1210094, 64444167]	[1475045, 46709983]	[1084534, 50818468]	[3695808, 242193529]	[2947256, 198295559]	[2073850, 190214555]	[4385350, 181538259]	[3367781, 170805979]	[3057987, 159345973]	[1379267, 145138636]	[3734448, 138394717]	[2398250, 16569]	[2114685, 156040895]	[93277, 57227415]	[0, 0]
Tg_REP3	[2614729, 133797422]	[3730623, 135086622]	[5273078, 133275309]	[1345573, 114364328]	[2074195, 107043718]	[2357753, 101991189]	[2967000, 90338345]	[3647970, 83257441]	[846857, 80373285]	[3189858, 58617616]	[7904900, 248956422]	[1533580, 64444167]	[1096894, 46709983]	[1413401, 50818468]	[4561682, 242193529]	[3669176, 198295559]	[2532441, 190214555]	[5356418, 181538259]	[4130160, 170805979]	[3809561, 159345973]	[1670285, 145138636]	[4739190, 138394717]	[2710049, 16569]	[2634181, 156040895]	[112528, 57227415]	[0, 0]
Tg_REP4	[7699231, 133797422]	[11018031, 135086622]	[15873353, 133275309]	[4065904, 114364328]	[6092185, 107043718]	[7013125, 101991189]	[8759487, 90338345]	[10654465, 83257441]	[2555704, 80373285]	[9620867, 58617616]	[23892940, 248956422]	[4514723, 64444167]	[3055280, 46709983]	[4071337, 50818468]	[13426077, 242193529]	[10773390, 198295559]	[7590072, 190214555]	[16081114, 181538259]	[12462945, 170805979]	[11285454, 159345973]	[5017570, 145138636]	[13816000, 138394717]	[10978961, 16569]	[7860555, 156040895]	[377258, 57227415]	[0, 0]
Tg_REP5	[1006081, 133797422]	[1443409, 135086622]	[2087248, 133275309]	[538668, 114364328]	[800355, 107043718]	[906713, 101991189]	[1164623, 90338345]	[1399075, 83257441]	[346871, 80373285]	[1278531, 58617616]	[3128481, 248956422]	[605190, 64444167]	[407268, 46709983]	[536011, 50818468]	[1768864, 242193529]	[1416595, 198295559]	[1000222, 190214555]	[2129196, 181538259]	[1659909, 170805979]	[1537916, 159345973]	[685087, 145138636]	[1777301, 138394717]	[1416626, 16569]	[1032342, 156040895]	[48706, 57227415]	[0, 0]
control_REP1	[2716641, 133797422]	[3716402, 135086622]	[4983478, 133275309]	[1361228, 114364328]	[2262202, 107043718]	[2264707, 101991189]	[2860635, 90338345]	[3607758, 83257441]	[946043, 80373285]	[3371486, 58617616]	[8023044, 248956422]	[1504098, 64444167]	[1270861, 46709983]	[1429151, 50818468]	[4602829, 242193529]	[3661587, 198295559]	[2468698, 190214555]	[5196163, 181538259]	[4374887, 170805979]	[3831847, 159345973]	[1697821, 145138636]	[3677133, 138394717]	[2503013, 16569]	[2890857, 156040895]	[120290, 57227415]	[0, 0]
control_REP2	[1293638, 133797422]	[1761978, 135086622]	[2420673, 133275309]	[654233, 114364328]	[1048759, 107043718]	[1101250, 101991189]	[1363972, 90338345]	[1718068, 83257441]	[451263, 80373285]	[1612044, 58617616]	[3855522, 248956422]	[726624, 64444167]	[570398, 46709983]	[687465, 50818468]	[2216212, 242193529]	[1736959, 198295559]	[1201760, 190214555]	[2505123, 181538259]	[2076460, 170805979]	[1812215, 159345973]	[809885, 145138636]	[1791515, 138394717]	[1175362, 16569]	[1381730, 156040895]	[57838, 57227415]	[0, 0]
control_REP3	[6149478, 133797422]	[8342627, 135086622]	[11298201, 133275309]	[3114110, 114364328]	[4946780, 107043718]	[5145932, 101991189]	[6547101, 90338345]	[8186802, 83257441]	[2104551, 80373285]	[7740512, 58617616]	[18602654, 248956422]	[3422595, 64444167]	[2439602, 46709983]	[3226776, 50818468]	[10358728, 242193529]	[8206198, 198295559]	[5618919, 190214555]	[11729922, 181538259]	[9752152, 170805979]	[8415127, 159345973]	[3835434, 145138636]	[8332088, 138394717]	[7536779, 16569]	[6520089, 156040895]	[284236, 57227415]	[0, 0]
control_REP4	[1111885, 133797422]	[1511555, 135086622]	[2061616, 133275309]	[568852, 114364328]	[905732, 107043718]	[949442, 101991189]	[1205969, 90338345]	[1492408, 83257441]	[382703, 80373285]	[1414751, 58617616]	[3328025, 248956422]	[621443, 64444167]	[495882, 46709983]	[607569, 50818468]	[1887731, 242193529]	[1504022, 198295559]	[1025846, 190214555]	[2144136, 181538259]	[1776539, 170805979]	[1558538, 159345973]	[698090, 145138636]	[1523173, 138394717]	[1085630, 16569]	[1186077, 156040895]	[50329, 57227415]	[0, 0]
control_REP5	[982562, 133797422]	[1376062, 135086622]	[1856845, 133275309]	[504027, 114364328]	[812003, 107043718]	[850120, 101991189]	[1062692, 90338345]	[1337907, 83257441]	[349529, 80373285]	[1269177, 58617616]	[2957094, 248956422]	[569337, 64444167]	[428420, 46709983]	[534742, 50818468]	[1686112, 242193529]	[1334928, 198295559]	[917745, 190214555]	[1911438, 181538259]	[1607868, 170805979]	[1429551, 159345973]	[639075, 145138636]	[1358480, 138394717]	[952013, 16569]	[1052440, 156040895]	[45618, 57227415]	[0, 0]
