Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
Tg_REP1	16642991.0	0.0	16642991.0	1.0	16642991.0	0.0	16642991.0	0.0	0.0	0.0	0.0	10140228.0	516089.0	0.0	6472181.0	823899241.0	823899241.0	0.0	823899241.0	821857580.0	0.0	502049416.0	1316739.0	0.00160215	49.0	50.0	0.0	50.0	50.0	0.0	36.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	60.9279185454105	3.1009390078982797	0.0
Tg_REP2	44242963.0	0.0	44242963.0	1.0	44242963.0	0.0	44242963.0	0.0	0.0	0.0	0.0	31873179.0	1373333.0	0.0	17444406.0	2189701144.0	2189701144.0	0.0	2189701144.0	2184228872.0	0.0	1577564455.0	3618196.0	0.00165651	49.0	49.0	0.0	50.0	50.0	0.0	36.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	72.04123964301397	3.1040710361103074	0.0
Tg_REP3	55074477.0	0.0	55074477.0	1.0	55074477.0	0.0	55074477.0	0.0	0.0	0.0	0.0	40200863.0	1633569.0	0.0	20847605.0	2726430181.0	2726430181.0	0.0	2726430181.0	2719526269.0	0.0	1990309529.0	4433052.0	0.001630082	49.0	50.0	0.0	50.0	50.0	0.0	36.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	72.99363550923961	2.9661089655013884	0.0
Tg_REP4	162757832.0	0.0	162757832.0	1.0	162757832.0	0.0	162757832.0	0.0	0.0	0.0	0.0	136830617.0	5228010.0	0.0	65798196.0	8059614604.0	8059614604.0	0.0	8059614604.0	8041020294.0	0.0	6776268225.0	11790533.0	0.001466298	49.0	50.0	0.0	50.0	50.0	0.0	36.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	84.07006613359165	3.2121403534055433	0.0
Tg_REP5	21409200.0	0.0	21409200.0	1.0	21409200.0	0.0	21409200.0	0.0	0.0	0.0	0.0	13950361.0	701765.0	0.0	8712088.0	1059640465.0	1059640465.0	0.0	1059640465.0	1057053881.0	0.0	690535062.0	1917952.0	0.001814432	49.0	49.0	0.0	50.0	50.0	0.0	36.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	65.16058983988192	3.2778665246716367	0.0
control_REP1	53780631.0	0.0	53780631.0	1.0	53780631.0	0.0	53780631.0	0.0	0.0	0.0	0.0	39954506.0	1706891.0	0.0	21562228.0	2662813626.0	2662813626.0	0.0	2662813626.0	2656129300.0	0.0	1978506926.0	3784113.0	0.001424672	49.0	50.0	0.0	50.0	50.0	0.0	36.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	74.29162740764421	3.1738024791862336	0.0
control_REP2	25693576.0	0.0	25693576.0	1.0	25693576.0	0.0	25693576.0	0.0	0.0	0.0	0.0	17408760.0	828599.0	0.0	10337370.0	1271932153.0	1271932153.0	0.0	1271932153.0	1268808784.0	0.0	861886934.0	2345178.0	0.00184833	49.0	50.0	0.0	50.0	50.0	0.0	36.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	67.75530194784875	3.224926728766755	0.0
control_REP3	123335273.0	0.0	123335273.0	1.0	123335273.0	0.0	123335273.0	0.0	0.0	0.0	0.0	101620418.0	3811504.0	0.0	48522120.0	6104497273.0	6104497273.0	0.0	6104497273.0	6090784073.0	0.0	5029972653.0	9892281.0	0.001624139	49.0	49.0	0.0	50.0	50.0	0.0	36.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	82.39363770654646	3.0903600464726746	0.0
control_REP4	22137653.0	0.0	22137653.0	1.0	22137653.0	0.0	22137653.0	0.0	0.0	0.0	0.0	14269678.0	710374.0	0.0	8960290.0	1095924450.0	1095924450.0	0.0	1095924450.0	1093168859.0	0.0	706500068.0	1855147.0	0.001697036	49.0	50.0	0.0	50.0	50.0	0.0	36.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	64.45885659152756	3.2088948182537687	0.0
control_REP5	19703484.0	0.0	19703484.0	1.0	19703484.0	0.0	19703484.0	0.0	0.0	0.0	0.0	12639810.0	650204.0	0.0	8122301.0	975476277.0	975476277.0	0.0	975476277.0	972989594.0	0.0	625840309.0	1777983.0	0.00182734	49.0	50.0	0.0	50.0	50.0	0.0	36.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	64.15012695216744	3.2999443144166785	0.0
