Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
Tg_REP1	16944181.0	49.0	13927607.0	82.2	49.38	2268166.0	2264250.0	2244402.0	18986.0	2104.0	2674.0	0.15	0.01	1.51	0.0	1.34	2715384.0	16.03	16444.0	0.1	0.0	1.45	0.23	0	245763	38983
Tg_REP2	45034105.0	49.0	36960993.0	82.07	49.37	5937671.0	5928002.0	5876024.0	48766.0	5590.0	7291.0	0.15	0.01	1.48	0.0	1.34	7281970.0	16.17	41981.0	0.09	0.0	1.43	0.24	0	641497	107664
Tg_REP3	55704574.0	49.0	46243121.0	83.01	49.38	7563205.0	7551803.0	7485777.0	62235.0	7077.0	8116.0	0.15	0.01	1.53	0.0	1.33	8831356.0	15.85	53047.0	0.1	0.0	0.8	0.24	0	443885	133165
Tg_REP4	163811103.0	49.0	134969464.0	82.39	49.4	22160729.0	22130773.0	21916405.0	197688.0	20729.0	25907.0	0.14	0.01	1.5	0.0	1.34	27788368.0	16.96	148152.0	0.09	0.0	0.31	0.24	0	510158	394961
Tg_REP5	21770401.0	49.0	17773305.0	81.64	49.38	2909702.0	2904891.0	2879084.0	24233.0	2757.0	3628.0	0.17	0.01	1.51	0.0	1.34	3635895.0	16.7	19739.0	0.09	0.0	1.34	0.23	0	291439	50023
control_REP1	54377853.0	49.0	44769436.0	82.33	49.39	7492178.0	7482138.0	7409972.0	64979.0	8530.0	8697.0	0.14	0.01	1.42	0.0	1.34	9011195.0	16.57	46129.0	0.08	0.0	0.8	0.21	0	436509	114584
control_REP2	26070291.0	49.0	21407159.0	82.11	49.38	3593081.0	3587793.0	3553649.0	30831.0	4128.0	4473.0	0.18	0.0	1.42	0.0	1.37	4286417.0	16.44	23121.0	0.09	0.0	1.14	0.22	0	296395	57199
control_REP3	124206215.0	49.0	102808659.0	82.77	49.38	16865126.0	16843502.0	16678483.0	146655.0	19121.0	20867.0	0.15	0.01	1.41	0.0	1.35	20526614.0	16.53	108496.0	0.09	0.0	0.38	0.24	0	467306	295140
control_REP4	22369246.0	49.0	18401690.0	82.26	49.38	3076021.0	3071554.0	3042665.0	26311.0	3368.0	3677.0	0.16	0.0	1.44	0.0	1.33	3735963.0	16.7	19748.0	0.09	0.0	0.73	0.22	0	162786	49059
control_REP5	19971263.0	49.0	16328354.0	81.76	49.38	2782178.0	2778180.0	2752254.0	23558.0	3095.0	3271.0	0.18	0.0	1.43	0.0	1.34	3375130.0	16.9	16290.0	0.08	0.0	1.06	0.19	0	213263	38226
